id,age,gender,height,weight,eduation,job_current
0,18393,2,168,62,1,16
1,20228,1,156,85,4,20
2,18857,1,165,64,4,10
3,17623,2,169,82,2,30
4,17474,1,156,56,4,2
8,21914,1,151,67,4,4
9,22113,1,157,,2,30
12,22584,2,178,95,3,27
13,17668,1,158,71,1,20
14,19834,1,164,68,1,4
15,22530,1,169,80,3,13
16,18815,2,173,60,2,27
18,14791,2,165,60,4,17
21,19809,1,158,78,1,1
23,14532,2,181,95,3,3
24,16782,2,172,112,3,24
25,21296,1,170,75,3,13
27,16747,1,158,52,2,27
28,17482,1,154,68,3,23
29,21755,2,162,56,1,28
30,19778,2,163,83,3,15
31,21413,1,157,,1,28
32,23046,1,158,90,3,4
33,23376,2,156,45,2,6
35,16608,1,170,68,3,18
36,14453,1,153,65,3,1
37,19559,1,156,59,3,17
38,18085,1,159,78,4,6
39,14574,2,166,66,3,10
40,21057,2,169,74,4,11
42,18291,1,155,105,3,26
43,23186,1,169,71,2,20
44,14605,1,159,60,1,18
45,20652,1,160,73,4,2
46,21940,2,173,82,2,4
47,20404,1,163,,4,29
49,18328,2,175,95,1,3
51,17976,1,164,70,1,29
52,23388,2,162,72,3,18
53,18126,1,165,70,2,9
54,19848,1,157,62,3,12
56,18274,1,178,68,4,21
57,21475,2,171,69,2,5
58,20556,2,159,63,3,20
59,19764,1,154,,1,18
60,17471,1,162,64,3,26
61,18207,1,162,107,4,9
62,18535,2,168,69,3,7
63,16864,2,175,70,3,10
64,16045,1,170,,2,25
65,18238,1,160,75,2,11
66,18338,1,169,84,3,25
67,19575,2,166,85,3,20
68,14507,1,165,77,3,10
69,19679,1,152,79,2,22
70,21787,2,165,73,1,1
71,17407,1,171,76,1,9
72,22748,1,165,90,4,5
73,15901,2,172,84,1,6
74,20431,1,164,64,1,11
77,19105,1,159,58,3,8
79,20960,2,165,75,1,20
81,20330,2,187,115,1,20
83,22587,1,170,85,1,12
86,20649,2,169,71,2,7
87,21752,1,148,80,3,26
88,19148,2,170,69,2,29
90,22099,2,171,97,4,10
92,19739,1,152,76,4,13
94,20882,1,157,53,2,24
95,23589,1,155,57,2,23
96,21874,2,179,95,1,29
97,23433,1,156,58,2,5
100,21934,1,157,77,3,4
103,16039,2,180,90,2,17
104,20484,1,158,75,2,30
105,20397,2,188,105,1,16
106,21865,1,160,68,4,23
107,18241,1,173,82,2,14
108,20370,2,164,74,3,4
109,16591,1,159,49,3,27
111,19029,1,155,64,1,29
113,19642,1,158,75,1,17
114,19570,1,152,,4,13
115,22636,1,178,93,3,4
116,18352,1,156,55,2,29
117,21909,1,156,75,2,2
119,19663,2,166,94,1,20
121,23204,1,151,92,4,16
122,19480,2,172,87,2,12
123,23230,1,160,82,1,19
124,19557,1,164,103,1,6
125,18752,2,173,76,1,8
126,22821,2,168,80,1,12
127,15946,2,185,88,1,21
129,21076,1,158,53,4,11
131,19258,2,165,65,4,28
132,18410,1,165,99,3,27
133,21860,2,170,100,3,8
134,17363,1,167,71,1,5
135,14684,2,171,61,4,17
136,18718,1,167,80,3,14
137,17015,1,168,77,2,14
138,18128,2,183,95,4,9
139,21903,1,170,72,4,19
140,20627,2,168,78,1,23
141,14448,2,162,60,4,11
142,14499,2,164,48,2,3
143,15440,2,174,54,4,12
144,16066,1,157,51,4,12
145,23296,2,168,75,3,14
146,21140,2,159,78,4,19
148,16633,1,158,78,2,13
149,18938,1,157,79,2,19
154,22055,1,167,84,3,24
157,21900,2,160,57,2,12
158,19109,2,180,84,1,8
161,19782,1,160,90,2,19
162,14321,2,173,75,2,30
163,18170,1,156,63,4,27
164,21605,1,156,71,1,25
166,19507,2,174,77,1,27
167,18247,1,170,70,4,13
168,14493,1,167,66,2,14
169,21758,1,165,65,2,21
170,19656,2,153,47,2,21
171,21145,1,170,66,4,23
172,21865,1,152,67,1,25
173,22111,1,176,74,4,17
174,18276,1,159,84,2,5
175,21987,2,169,59,2,11
176,20442,2,170,65,2,11
177,22585,2,164,84,2,26
178,21259,2,160,57,4,4
180,21473,2,174,90,4,3
182,20393,1,161,67,1,15
183,17213,1,153,50,1,9
184,22536,2,184,82,1,19
185,16889,1,156,60,4,10
186,18283,1,170,60,3,17
189,19529,1,158,55,1,16
190,22019,1,165,55,1,30
191,23376,2,169,73,3,8
192,21857,2,169,58,3,11
196,16728,2,178,91,1,30
197,18461,1,152,57,2,29
199,18068,1,160,90,4,20
200,23470,2,166,69,4,4
201,20395,1,164,70,1,24
202,17473,1,162,71,4,14
203,16017,2,167,82,2,7
204,21695,1,160,67,1,16
206,20533,2,169,79,2,6
207,20465,2,168,72,2,3
208,18912,1,167,80,1,20
209,18860,1,168,62,2,19
210,22428,1,159,73,1,25
211,19792,2,169,87,2,17
213,16028,1,157,69,2,21
215,17939,1,154,67,3,10
216,23117,2,180,104,4,4
217,15885,1,165,66,2,20
218,18293,1,158,72,4,28
219,17539,1,153,73,4,2
220,20533,2,171,70,4,22
223,21135,1,148,53,4,19
224,19570,1,170,68,3,21
225,15268,1,160,,3,19
227,22650,1,165,70,2,23
229,20603,1,170,70,1,24
230,22620,1,165,68,4,24
231,21191,1,153,78,1,10
234,16771,1,169,64,1,25
235,21137,2,172,94,3,28
237,19769,1,180,70,3,9
238,16748,1,158,58,1,10
239,16621,1,177,81,1,11
240,21848,2,170,,4,24
241,18915,1,170,60,1,15
242,18859,2,171,98,3,26
244,18949,1,153,63,4,20
245,21712,2,165,65,1,8
248,22671,2,174,74,2,30
250,23312,1,148,50,1,19
251,23225,1,155,74,1,15
252,21305,2,157,51,3,7
253,19631,2,169,55,4,21
254,19081,2,175,53,4,4
255,22527,1,165,,3,20
257,14557,2,182,75,3,7
258,18987,2,169,68,4,21
259,15326,1,172,55,2,12
260,21166,2,162,59,4,28
261,14638,2,185,94,4,29
264,21989,1,162,62,4,30
265,19635,2,174,88,3,11
267,22675,1,176,108,1,15
271,21796,2,171,71,4,21
272,15212,2,183,85,4,2
275,18825,1,170,67,2,2
276,20578,1,165,70,3,25
277,19802,1,158,58,2,8
278,14624,1,167,79,1,27
279,23109,2,166,63,3,11
281,18901,1,157,55,3,11
283,17325,1,168,65,2,16
285,17548,2,156,60,1,24
286,21086,1,161,68,1,5
287,15954,2,183,92,2,17
288,18169,2,172,62,1,2
289,21014,2,169,75,4,12
290,18347,1,159,57,1,17
291,22570,1,162,105,2,16
292,19085,1,154,64,1,14
293,16739,2,170,95,2,17
294,21381,2,173,73,3,14
295,18807,1,160,88,1,3
296,23341,2,167,68,3,29
297,18839,1,158,70,3,26
299,21179,1,164,67,1,20
303,19675,1,164,57,4,4
305,17591,1,157,70,2,30
306,19829,1,158,83,2,28
308,15296,1,165,70,3,10
309,21800,2,76,55,3,6
310,17471,1,156,65,4,4
311,15825,2,166,70,2,27
312,14373,1,168,68,3,29
314,17489,2,183,98,1,15
316,20259,2,169,65,1,17
318,23376,2,175,75,1,27
320,19545,2,168,72,1,18
321,18444,2,173,75,1,17
322,20490,2,185,81,2,21
324,21377,1,149,60,1,5
325,20421,2,170,68,2,27
327,23444,1,158,69,4,5
328,17326,2,180,90,1,13
329,16799,1,153,60,2,12
330,22573,1,170,65,3,20
332,21971,2,170,82,1,30
334,21932,2,157,60,1,4
335,18825,2,179,79,1,5
336,16060,1,154,56,3,15
337,17460,2,162,66,4,26
